Style,City,State
American Pale Wheat Ale,Saint Louis,MO
American IPA,Saint Louis,MO
American Brown Ale,Saint Louis,MO
Hefeweizen,Saint Louis,MO
Munich Helles Lager,Saint Louis,MO
American IPA,Boulder,CO
American IPA,Ashburn,VA
Czech Pilsener,Ashburn,VA
American IPA,Santa Cruz,CA
Kölsch,Asheville,NC
Scotch Ale / Wee Heavy,Asheville,NC
Extra Special / Strong Bitter (ESB),Asheville,NC
Czech Pilsener,Medford,OR
American IPA,Medford,OR
English India Pale Ale (IPA),Brooklyn,NY
English India Pale Ale (IPA),Brooklyn,NY
American Amber / Red Lager,Kona,HI
American Amber / Red Lager,Kona,HI
American Amber / Red Lager,Kona,HI
American Amber / Red Lager,Kona,HI
Irish Red Ale,Fort Collins,CO
American Pale Ale (APA),Fort Collins,CO
Kölsch,Fort Collins,CO
English Bitter,Fort Collins,CO
American Porter,Fort Collins,CO
American IPA,O'Fallon,MO
Fruit / Vegetable Beer,O'Fallon,MO
American Pale Ale (APA),Vadnais Heights,MN
Rye Beer,Vadnais Heights,MN
American Double / Imperial IPA,Vadnais Heights,MN
Oatmeal Stout,Vadnais Heights,MN
American IPA,Vadnais Heights,MN
American IPA,Gainesville,FL
Witbier,Gainesville,FL
American Pale Ale (APA),Gainesville,FL
Oatmeal Stout,Gainesville,FL
Cream Ale,Gainesville,FL
American Porter,Half Moon Bay,CA
Witbier,Half Moon Bay,CA
American Pale Ale (APA),Half Moon Bay,CA
American Double / Imperial IPA,San Diego,CA
American IPA,San Diego,CA
American IPA,San Diego,CA
Hefeweizen,San Diego,CA
American Blonde Ale,San Diego,CA
American Blonde Ale,San Diego,CA
Hefeweizen,San Diego,CA
American Pale Ale (APA),Pacific,WA
Irish Dry Stout,Talkeetna,AK
American Blonde Ale,Talkeetna,AK
American IPA,Talkeetna,AK
Irish Red Ale,Talkeetna,AK
American Pale Ale (APA),Bend,OR
American Amber / Red Ale,Sheridan,WY
American IPA,Sheridan,WY
English Brown Ale,Sheridan,WY
American Pale Wheat Ale,Sheridan,WY
American Blonde Ale,Soldotna,AK
Saison / Farmhouse Ale,Seattle,WA
American Pale Ale (APA),Seattle,WA
American Pale Ale (APA),Seattle,WA
American IPA,Seattle,WA
Gose,South San Francisco,CA
American Amber / Red Lager,Golden,CO
American Amber / Red Lager,Golden,CO
American IPA,Bend,OR
American Pale Wheat Ale,Bend,OR
American Pale Ale (APA),Jacksonville,FL
American Pale Ale (APA),Athens,GA
Scottish Ale,Spirit Lake,IA
American Brown Ale,Spirit Lake,IA
Saison / Farmhouse Ale,Spirit Lake,IA
American Pale Ale (APA),Spirit Lake,IA
American Stout,Spirit Lake,IA
Rye Beer,Spirit Lake,IA
American Amber / Red Ale,Boulder,CO
Kölsch,Boulder,CO
American Brown Ale,Marietta,GA
American IPA,Marietta,GA
Fruit / Vegetable Beer,Redlands,CA
Munich Helles Lager,Redlands,CA
American Pale Ale (APA),Birmingham,AL
American Double / Imperial IPA,Birmingham,AL
Oatmeal Stout,Birmingham,AL
American IPA,Birmingham,AL
American Brown Ale,Birmingham,AL
American IPA,Halethorpe,MD
Märzen / Oktoberfest,Halethorpe,MD
American IPA,Gig Harbor,WA
English Pale Ale,Gig Harbor,WA
English Pale Ale,Gig Harbor,WA
American Double / Imperial IPA,Gig Harbor,WA
American IPA,Des Moines,IA
German Pilsener,Des Moines,IA
American Blonde Ale,Des Moines,IA
American IPA,Yakima,WA
American Pale Ale (APA),Yakima,WA
American Amber / Red Ale,Portland,OR
American Amber / Red Ale,Green Bay,WI
American IPA,Woodinville,WA
American IPA,Woodinville,WA
American Amber / Red Ale,Woodinville,WA
American White IPA,Patchogue,NY
American Blonde Ale,Patchogue,NY
Vienna Lager,Patchogue,NY
American IPA,Tampa,FL
American Amber / Red Ale,Belmont,CA
American IPA,Belmont,CA
Scotch Ale / Wee Heavy,Belmont,CA
American Amber / Red Ale,Anchorage,AK
American Pale Ale (APA),Anchorage,AK
American IPA,Anchorage,AK
American IPA,Silverton,OR
American Porter,Silverton,OR
American IPA,Aurora,CO
Fruit / Vegetable Beer,Aurora,CO
Hefeweizen,Aurora,CO
American Amber / Red Ale,Aurora,CO
Vienna Lager,Glendale,WI
Vienna Lager,Glendale,WI
American Pale Wheat Ale,Leavenworth,KS
American Double / Imperial IPA,Lyons,CO
Russian Imperial Stout,Lyons,CO
Russian Imperial Stout,Lyons,CO
Scottish Ale,Lyons,CO
Scottish Ale,Lyons,CO
Scottish Ale,Lyons,CO
American Pale Ale (APA),Lyons,CO
American Pale Ale (APA),Lyons,CO
American Pale Ale (APA),Lyons,CO
American Pale Ale (APA),Lyons,CO
American Pale Ale (APA),Lyons,CO
American Double / Imperial IPA,Lyons,CO
American Dark Wheat Ale,Krebs,OK
American IPA,Tacoma,WA
American Porter,Tacoma,WA
Scotch Ale / Wee Heavy,Missoula,MT
American IPA,Missoula,MT
American IPA,Missoula,MT
American Pale Ale (APA),Missoula,MT
American IPA,Missoula,MT
Scotch Ale / Wee Heavy,Missoula,MT
Oatmeal Stout,Greeley,CO
American Black Ale,Greeley,CO
American Amber / Red Lager,Seattle,WA
American Pale Ale (APA),Carlsbad,CA
Czech Pilsener,Chattanooga,TN
American IPA,Chattanooga,TN
American IPA,Boulder,CO
American IPA,Frederick,MD
American Pale Lager,Frederick,MD
American Blonde Ale,Aspen,CO
American IPA,Aspen,CO
Munich Helles Lager,New York,NY
American Pilsner,Seattle,WA
American Blonde Ale,Jacksonville,FL
American IPA,Jacksonville,FL
American Pale Ale (APA),Jacksonville,FL
Kölsch,Asheville,NC
American Porter,Asheville,NC
American IPA,Asheville,NC
American Black Ale,Reno,NV
American Amber / Red Ale,Reno,NV
Herbed / Spiced Beer,Reno,NV
Schwarzbier,Reno,NV
American IPA,Abita Springs,LA
Fruit / Vegetable Beer,Abita Springs,LA
American Amber / Red Lager,Abita Springs,LA
American Pale Wheat Ale,Rochester,NY
American Pale Ale (APA),Greenville,DE
American Pale Ale (APA),Battle Creek,MI
American Pale Wheat Ale,Battle Creek,MI
American Pale Lager,Whitefish,MT
American Pale Lager,Whitefish,MT
Hefeweizen,Seattle,WA
Hefeweizen,Seattle,WA
Maibock / Helles Bock,Lancaster,PA
Kölsch,Lancaster,PA
American Brown Ale,Elmira,NY
American IPA,Elmira,NY
